Día;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1;286;317;345;11;41;72;102;133;164;194;225;255
2;287;318;346;12;42;73;103;134;165;195;226;256
3;288;319;347;13;43;74;104;135;166;196;227;257
4;289;320;348;14;44;75;105;136;167;197;228;258
5;290;321;349;15;45;76;106;137;168;198;229;259
6;291;322;350;16;46;77;107;138;169;199;230;260
7;292;323;351;17;47;78;108;139;170;200;231;261
8;293;324;352;18;48;79;109;140;171;201;232;262
9;294;325;353;19;49;80;110;141;172;202;233;263
10;295;326;354;20;50;81;111;142;173;203;234;264
11;296;327;355;21;51;82;112;143;174;204;235;265
12;297;328;356;22;52;83;113;144;175;205;236;266
13;298;329;357;23;53;84;114;145;176;206;237;267
14;299;330;358;24;54;85;115;146;177;207;238;268
15;300;331;359;25;55;86;116;147;178;208;239;269
16;301;332;360;26;56;87;117;148;179;209;240;270
17;302;333;361;27;57;88;118;149;180;210;241;271
18;303;334;362;28;58;89;119;150;181;211;242;272
19;304;335;363;29;59;90;120;151;182;212;243;273
20;305;336;364;30;60;91;121;152;183;213;244;274
21;306;337;365;31;61;92;122;153;184;214;245;275
22;307;338;1;32;62;93;123;154;185;215;246;276
23;308;339;2;33;63;94;124;155;186;216;247;277
24;309;340;3;34;64;95;125;156;187;217;248;278
25;310;341;4;35;65;96;126;157;188;218;249;279
26;311;342;5;36;66;97;127;158;189;219;250;280
27;312;343;6;37;67;98;128;159;190;220;251;281
28;313;344;7;38;68;99;129;160;191;221;252;282
29;314;-;8;39;69;100;130;161;192;222;253;283
30;315;-;9;40;70;101;131;162;193;223;254;284
31;316;-;10;-;71;-;132;163;-;224;-;285
